rank,action,mean_entropy_reduction,mean_delta_confidence,prediction_flip_rate,accuracy,accuracy_delta,risk_proxy,risk_proxy_delta
1,global_view,0.0,0.0,0.0,0.6920781334780249,0.0,0.3320450186729431,0.0
2,center_zoom,-0.01576596312224865,-0.004758554510772228,0.17227346717308736,0.6831253391209984,-0.008952794357026561,0.3368035852909088,0.004758566617965698
3,color_suppressed,-0.08132600039243698,-0.032426867634058,0.2135105805751492,0.6587086272381986,-0.033369506239826374,0.3644719123840332,0.03242689371109009
4,left_region,-0.10296576470136642,-0.04489883407950401,0.2908301682040152,0.6714595767769941,-0.020618556701030855,0.3769438862800598,0.0448988676071167
5,lower_region,-0.12315048277378082,-0.05738000199198723,0.3602821486706457,0.6372761801410743,-0.05480195333695059,0.38942503929138184,0.05738002061843872
6,right_region,-0.1389918178319931,-0.05924271047115326,0.3141616928920239,0.6597938144329897,-0.03228431904503526,0.39128774404525757,0.05924272537231445
7,upper_region,-0.14838752150535583,-0.06581521779298782,0.3534997287032013,0.6397178513293543,-0.05236028214867061,0.39786025881767273,0.06581524014472961
8,artifact_suppressed,-0.15684902667999268,-0.05952931568026543,0.30683667932718395,0.6011937059142702,-0.0908844275637547,0.39157435297966003,0.05952933430671692
9,border_zoom,-0.267696738243103,-0.11191893368959427,0.42674986435160067,0.5168204015192621,-0.17525773195876282,0.44396400451660156,0.11191898584365845
10,high_frequency_texture,-0.8518416881561279,-0.39318859577178955,0.8974498100922409,0.10499186109603907,-0.5870862723819859,0.7252336144447327,0.39318859577178955
