action,mean_entropy_global,mean_entropy_action,delta_entropy,entropy_reduction,mean_confidence_global,mean_confidence_action,delta_confidence,accuracy,accuracy_delta,prediction_flip_rate
global_view,0.9595879316329956,0.9595879316329956,0.0,0.0,0.6679549217224121,0.6679549217224121,0.0,0.6920781334780249,0.0,0.0
center_zoom,0.9595879316329956,0.9753538370132446,0.01576596312224865,-0.01576596312224865,0.6679549217224121,0.6631964445114136,-0.004758554510772228,0.6831253391209984,-0.008952794357026561,0.17227346717308736
border_zoom,0.9595879316329956,1.2272846698760986,0.267696738243103,-0.267696738243103,0.6679549217224121,0.5560360550880432,-0.11191893368959427,0.5168204015192621,-0.17525773195876282,0.42674986435160067
upper_region,0.9595879316329956,1.1079753637313843,0.14838752150535583,-0.14838752150535583,0.6679549217224121,0.6021397709846497,-0.06581521779298782,0.6397178513293543,-0.05236028214867061,0.3534997287032013
lower_region,0.9595879316329956,1.0827383995056152,0.12315048277378082,-0.12315048277378082,0.6679549217224121,0.6105749607086182,-0.05738000199198723,0.6372761801410743,-0.05480195333695059,0.3602821486706457
left_region,0.9595879316329956,1.0625536441802979,0.10296576470136642,-0.10296576470136642,0.6679549217224121,0.623056173324585,-0.04489883407950401,0.6714595767769941,-0.020618556701030855,0.2908301682040152
right_region,0.9595879316329956,1.0985796451568604,0.1389918178319931,-0.1389918178319931,0.6679549217224121,0.6087122559547424,-0.05924271047115326,0.6597938144329897,-0.03228431904503526,0.3141616928920239
high_frequency_texture,0.9595879316329956,1.811429500579834,0.8518416881561279,-0.8518416881561279,0.6679549217224121,0.27476635575294495,-0.39318859577178955,0.10499186109603907,-0.5870862723819859,0.8974498100922409
color_suppressed,0.9595879316329956,1.0409139394760132,0.08132600039243698,-0.08132600039243698,0.6679549217224121,0.6355280876159668,-0.032426867634058,0.6587086272381986,-0.033369506239826374,0.2135105805751492
artifact_suppressed,0.9595879316329956,1.1164369583129883,0.15684902667999268,-0.15684902667999268,0.6679549217224121,0.6084256172180176,-0.05952931568026543,0.6011937059142702,-0.0908844275637547,0.30683667932718395
